OBJECTID,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,SHAPE_Length,SHAPE_Area
1,31,039,00835841,31039,Cuming,Cuming County,06,H1,G4020,,,,A,1477895811,10447360,+41.9158651,-096.7885168,207462.580882802,-2689907865.89215
2,53,069,01513275,53069,Wahkiakum,Wahkiakum County,06,H1,G4020,,,,A,680956787,61588406,+46.2946377,-123.4244583,184085.584579162,-1554707440.04101
3,35,011,00933054,35011,De Baca,De Baca County,06,H1,G4020,,,,A,6016761713,29147306,+34.3592729,-104.3686961,421444.217419806,-8890145561.29256
4,31,109,00835876,31109,Lancaster,Lancaster County,06,H1,G4020,339,30700,,A,2169240199,22877180,+40.7835474,-096.6886584,253648.289292268,-3827441138.55735
5,31,129,00835886,31129,Nuckolls,Nuckolls County,06,H1,G4020,,,,A,1489645187,1718484,+40.1764918,-098.0468422,202322.649936937,-2557538926.24108
6,72,085,01804523,72085,Las Piedras,Las Piedras Municipio,13,H1,G4020,490,41980,,A,87748363,32509,+18.1871483,-065.8711890,56245.0263566358,-97783760.161091
7,46,099,01265772,46099,Minnehaha,Minnehaha County,06,H1,G4020,,43620,,A,2090540344,17349847,+43.6674723,-096.7957261,257983.853929926,-4030689660.36601
8,48,327,01383949,48327,Menard,Menard County,06,H1,G4020,,,,A,2336237920,613559,+30.8843921,-099.8539616,238456.972666696,-3183342847.12781
9,06,091,00277310,06091,Sierra,Sierra County,06,H1,G4020,,,,A,2468694587,23299110,+39.5769252,-120.5219926,375602.6975688,-4200448236.09075
10,21,053,00516873,21053,Clinton,Clinton County,06,H1,G4020,,,,A,510864294,21164151,+36.7272577,-085.1360977,142004.507359717,-829804778.251259
11,39,063,01074044,39063,Hancock,Hancock County,06,H1,G4020,248,22300,,A,1376210233,5959837,+41.0004711,-083.6660335,205023.147918806,-2429070590.71446
12,48,189,01383880,48189,Hale,Hale County,06,H1,G4020,,38380,,A,2602115387,246678,+34.0684364,-101.8228879,247067.459674032,-3802203861.25961
13,01,027,00161539,01027,Clay,Clay County,06,H1,G4020,,,,A,1564252455,5284573,+33.2703999,-085.8635254,244308.248776534,-2251226671.95858
14,48,011,01383791,48011,Armstrong,Armstrong County,06,H1,G4020,108,11100,,A,2354581675,12219587,+34.9641790,-101.3566363,237830.980125803,-3532393882.11841
15,39,003,01074015,39003,Allen,Allen County,06,H1,G4020,338,30620,,A,1042470095,11266164,+40.7716274,-084.1061032,196503.806284269,-1839112217.23632
16,13,189,00348794,13189,McDuffie,McDuffie County,06,H1,G4020,,12260,,A,666816637,23116292,+33.4824637,-082.4731880,181161.479284051,-994417864.928553
17,55,111,01581115,55111,Sauk,Sauk County,06,H1,G4020,357,12660,,A,2153654529,45723565,+43.4279976,-089.9433290,298775.226176434,-4171486870.63681
18,05,137,00069902,05137,Stone,Stone County,06,H1,G4020,,,,A,1570579422,7841929,+35.8570312,-092.1405728,255474.536842827,-2408183325.87555
19,41,063,01155135,41063,Wallowa,Wallowa County,06,H1,G4020,,,,A,8147836571,14191615,+45.5937530,-117.1855796,600799.384792428,-16659831879.3329
20,42,007,01214112,42007,Beaver,Beaver County,06,H1,G4020,430,38300,,A,1125901161,24165972,+40.6841401,-080.3507209,183766.220399622,-2001911307.77812
21,28,061,00695754,28061,Jasper,Jasper County,06,H1,G4020,,29860,,A,1751451429,3181592,+32.0169894,-089.1194302,198801.350402191,-2447991933.04738
22,29,083,00758496,29083,Henry,Henry County,06,H1,G4020,,,,A,1805075859,91636450,+38.3864909,-093.7926278,229585.183301624,-3091756625.6972
23,08,109,00198170,08109,Saguache,Saguache County,06,H1,G4020,,,,A,8206547711,4454510,+38.0316514,-106.2346662,529490.961090754,-13273865087.9984
24,37,037,01008544,37037,Chatham,Chatham County,06,H1,G4020,450,20500,,A,1765012096,71263127,+35.7049939,-079.2514542,275818.693371733,-2790620292.82054
25,49,033,01448030,49033,Rich,Rich County,06,H1,G4020,,,,A,2664700942,149106532,+41.6275976,-111.2402269,401341.085447227,-5041023633.58229
26,40,001,01101788,40001,Adair,Adair County,06,H1,G4020,,,,A,1485305064,9254749,+35.8980428,-094.6510258,209011.093530632,-2281623365.60295
27,39,085,01074055,39085,Lake,Lake County,06,H1,G4020,184,17460,,A,593799763,1942309063,+41.9241163,-081.3926429,294576.082597756,-4582727229.69312
28,51,775,01789074,51775,Salem,Salem city,25,C7,G4020,,40220,,F,37400253,263080,+37.2853329,-080.0552407,44994.1707425753,-59606144.9159741
29,51,121,01674630,51121,Montgomery,Montgomery County,06,H1,G4020,,13980,,A,1001065264,5807436,+37.1755344,-080.3877913,238533.533900446,-1588792951.7054
30,47,065,01639749,47065,Hamilton,Hamilton County,06,H1,G4020,174,16860,,A,1404935852,86587760,+35.1607616,-085.1977114,243002.12097109,-2237768495.76376
31,35,035,00929104,35035,Otero,Otero County,06,H1,G4020,,10460,,A,17126441843,36956504,+32.5887764,-105.7810785,717511.672498256,-24260278064.0097
32,35,003,00929108,35003,Catron,Catron County,06,H1,G4020,,,,A,17933560031,14194439,+33.9018583,-108.3920882,666244.268304414,-26129514386.6144
33,01,091,00161572,01091,Marengo,Marengo County,06,H1,G4020,,,,A,2530112315,14994544,+32.2475911,-087.7910910,316844.203115742,-3568503166.5074
34,56,023,01605076,56023,Lincoln,Lincoln County,06,H1,G4020,,,,A,10557346540,49947392,+42.2299932,-110.6829614,756912.595085342,-19382840810.3761
35,29,011,00758460,29011,Barton,Barton County,06,H1,G4020,,,,A,1533067872,12434943,+37.5007989,-094.3440893,201927.557067452,-2459937794.73966
36,48,057,01383814,48057,Calhoun,Calhoun County,06,H1,G4020,544,38920,,A,1312707024,1361884769,+28.4417191,-096.5795739,298289.633209584,-3471862183.9613
37,51,735,01498436,51735,Poquoson,Poquoson city,25,C7,G4020,545,47260,,F,39850781,163448417,+37.1283599,-076.3035337,87124.8787436367,-320582507.315629
38,54,075,01550044,54075,Pocahontas,Pocahontas County,06,H1,G4020,,,,A,2435322188,3978619,+38.3326060,-080.0101207,345034.266240812,-3970431106.63516
39,48,077,01383824,48077,Clay,Clay County,06,H1,G4020,,48660,,A,2819787559,72591143,+33.7859042,-098.2129174,306380.006671624,-4198038915.16236
40,51,095,01480135,51095,James City,James City County,06,H1,G4020,545,47260,,A,368991427,95273609,+37.3248367,-076.7778878,211619.487309126,-735271621.846218
41,31,101,00835872,31101,Keith,Keith County,06,H1,G4020,,,,A,2749531884,124672175,+41.1942448,-101.6444493,295176.610740695,-5081356626.70787
42,31,137,00835890,31137,Phelps,Phelps County,06,H1,G4020,,,,A,1398048574,1646534,+40.5163647,-099.4065568,200785.36495218,-2424087709.57978
43,22,019,00558468,22019,Calcasieu,Calcasieu Parish,15,H1,G4020,324,29340,,A,2756538200,77608623,+30.2295588,-093.3580154,364688.185568641,-3809090086.87895
44,22,111,00559528,22111,Union,Union Parish,15,H1,G4020,384,33740,,A,2271359848,73624039,+32.8293486,-092.3756501,272795.214329252,-3330549224.24055
45,40,135,01101855,40135,Sequoyah,Sequoyah County,06,H1,G4020,,22900,,A,1743779422,105832791,+35.5024345,-094.7507569,252291.624754864,-2796496976.3283
46,01,049,00161550,01049,DeKalb,DeKalb County,06,H1,G4020,290,22840,,A,2012664315,4121538,+34.4609290,-085.8039920,274719.141936413,-2973796580.47807
47,36,101,00974148,36101,Steuben,Steuben County,06,H1,G4020,236,18500,,A,3601567659,34992742,+42.2667252,-077.3855253,349436.880489578,-6645168086.29361
48,42,053,01213669,42053,Forest,Forest County,06,H1,G4020,,,,A,1106623936,8356610,+41.5133040,-079.2497050,243213.501296494,-1990170963.60514
49,22,105,00559500,22105,Tangipahoa,Tangipahoa Parish,15,H1,G4020,406,25220,,A,2049488094,136678798,+30.6215802,-090.4066329,302704.405469956,-2962036644.9301
50,51,179,01480173,51179,Stafford,Stafford County,06,H1,G4020,548,47900,47894,A,696844523,28166655,+38.4153856,-077.4548719,177645.308226551,-1182962658.809
51,26,109,01622997,26109,Menominee,Menominee County,06,H1,G4020,,31940,,A,2704030473,761792643,+45.5382374,-087.4929489,481180.904423405,-7060513887.14149
52,18,073,00450494,18073,Jasper,Jasper County,06,H1,G4020,176,16980,23844,A,1449431947,4560470,+41.0176883,-087.1188137,228896.249187037,-2556928816.54905
53,13,025,00351605,13025,Brantley,Brantley County,06,H1,G4020,,15260,,A,1145716262,12532588,+31.1973339,-081.9829779,247239.823218988,-1587917220.17455
54,13,171,00326713,13171,Lamar,Lamar County,06,H1,G4020,122,12060,,A,475262774,6046030,+33.0744604,-084.1467206,124754.70382149,-687353248.795797
55,18,151,00450390,18151,Steuben,Steuben County,06,H1,G4020,258,11420,,A,799725143,35458838,+41.6434670,-085.0024051,155937.627464818,-1496756722.93081
56,48,361,01383966,48361,Orange,Orange County,06,H1,G4020,,13140,,A,864488646,118488848,+30.1223229,-093.8940999,223709.785106473,-1318253650.75383
57,39,047,01074036,39047,Fayette,Fayette County,06,H1,G4020,198,47920,,A,1052470875,1693045,+39.5552741,-083.4619526,176838.676666722,-1775833247.63635
58,25,015,00606934,25015,Hampshire,Hampshire County,06,H4,G4020,521,44140,,N,1365512869,46539285,+42.3394593,-072.6636936,379686.367493728,-2586137396.41505
59,21,003,00516848,21003,Allen,Allen County,06,H1,G4020,150,14540,,A,891830441,19492342,+36.7507703,-086.1924580,212162.524098692,-1422266414.25803
60,37,001,01008531,37001,Alamance,Alamance County,06,H1,G4020,268,15500,,A,1096654283,28025249,+36.0439535,-079.4005733,179975.968815851,-1723850962.14925
61,20,073,00485003,20073,Greenwood,Greenwood County,06,H1,G4020,,,,A,2961133006,24155643,+37.8793471,-096.2417321,285886.665568044,-4799604362.01067
62,25,025,00606939,25025,Suffolk,Suffolk County,06,H4,G4020,148,14460,14454,N,150865086,160470296,+42.3319600,-071.0201725,213662.865779701,-570349173.317472
63,16,051,00399751,16051,Jefferson,Jefferson County,06,H1,G4020,292,26820,,A,2832825433,31168353,+43.7969649,-112.3185879,373659.894238647,-5503107133.30509
64,48,177,01383874,48177,Gonzales,Gonzales County,06,H1,G4020,,,,A,2762704869,8204086,+29.4619169,-097.4918609,253316.383869297,-3667512427.2596
65,47,115,01639770,47115,Marion,Marion County,06,H1,G4020,174,16860,,A,1290244621,36484742,+35.1334215,-085.6183990,197208.680330685,-1988020002.94258
66,26,007,01622946,26007,Alpena,Alpena County,06,H1,G4020,,10980,,A,1481125303,2908714548,+44.8949540,-083.4265739,434979.268337649,-8789310407.82594
67,21,231,00516962,21231,Wayne,Wayne County,06,H1,G4020,,,,A,1186687833,67286710,+36.8020113,-084.8304404,214716.404922255,-1959563770.12495
68,47,185,01639800,47185,White,White County,06,H1,G4020,,,,A,975592097,7113368,+35.9270486,-085.4557854,227185.717031755,-1501800649.21213
69,48,147,01383859,48147,Fannin,Fannin County,06,H1,G4020,206,14300,,A,2307244931,20853016,+33.5911611,-096.1049882,280925.807037704,-3364105532.90211
70,20,043,00484991,20043,Doniphan,Doniphan County,06,H1,G4020,312,41140,,A,1018914915,12614908,+39.7885021,-095.1472253,229404.058232181,-1749130788.74765
71,48,265,01383918,48265,Kerr,Kerr County,06,H1,G4020,,28500,,A,2857602004,10247343,+30.0599530,-099.3533388,304590.482180023,-3841430882.24636
72,12,053,00295751,12053,Hernando,Hernando County,06,H1,G4020,,45300,,A,1224612184,300943525,+28.5730426,-082.4662272,232151.532497029,-1984642444.17505
73,12,129,00306912,12129,Wakulla,Wakulla County,06,H1,G4020,533,45220,,A,1570625278,334901690,+30.1403575,-084.3751122,252393.990112654,-2556829795.15174
74,12,131,00295727,12131,Walton,Walton County,06,H1,G4020,,18880,,A,2687681942,522853411,+30.6312106,-086.1766139,335626.760929452,-4349231164.06189
75,28,017,00695733,28017,Chickasaw,Chickasaw County,06,H1,G4020,,,,A,1299609263,6380767,+33.9216539,-088.9458075,195190.703322896,-1901467352.15077
76,02,130,01419973,02130,Ketchikan Gateway,Ketchikan Gateway Borough,04,H1,G4020,,28540,,A,12583212278,4649427959,+55.4499378,-131.1066847,1361948.9336161,-53574694401.1596
77,26,035,01622960,26035,Clare,Clare County,06,H1,G4020,,,,A,1461621715,28500716,+43.9911368,-084.8383253,214777.678164762,-2879300166.7633
78,20,157,00485042,20157,Republic,Republic County,06,H1,G4020,,,,A,1857983299,7966959,+39.8289103,-097.6509213,226336.067770415,-3167664113.76721
79,12,127,00306921,12127,Volusia,Volusia County,06,H1,G4020,422,19660,,A,2852040536,857943035,+29.0577690,-081.1617920,445787.657738321,-4873221539.74415
80,40,017,01101796,40017,Canadian,Canadian County,06,H1,G4020,416,36420,,A,2322263470,23231531,+35.5434100,-097.9798435,264789.873831994,-3550373665.53851
81,72,115,01804538,72115,Quebradillas,Quebradillas Municipio,13,H1,G4020,490,11640,,A,58747684,30224116,+18.4663570,-066.9276025,56704.2167544276,-99422765.9942775
82,78,030,02378250,78030,St. Thomas,St. Thomas Island,10,H4,G4020,,,,N,81101601,717928166,+18.3267484,-064.9712504,134485.645089231,-891511689.305652
83,13,115,00353665,13115,Floyd,Floyd County,06,H1,G4020,470,40660,,A,1320695431,22123140,+34.2636843,-085.2136540,240695.486907808,-1970823694.14076
84,32,001,00858638,32001,Churchill,Churchill County,06,H1,G4020,,21980,,A,12770128151,242405502,+39.5377100,-118.2641654,727959.994133211,-21934607053.0094
85,31,181,00835912,31181,Webster,Webster County,06,H1,G4020,,,,A,1489017970,337241,+40.1806461,-098.4985897,202321.023888273,-2554098485.10181
86,17,067,00424235,17067,Hancock,Hancock County,06,H1,G4020,,22800,,A,2055740567,53535827,+40.4057924,-091.1679875,253450.067736059,-3641440107.03479
87,46,067,01265771,46067,Hutchinson,Hutchinson County,06,H1,G4020,,,,A,2105411239,3928766,+43.3367101,-097.7493828,259191.816632299,-3988685497.94582
88,41,013,01155128,41013,Crook,Crook County,06,H1,G4020,140,39260,,A,7715294911,21091929,+44.1630537,-120.3715849,590893.422429918,-15026570848.9432
89,50,011,01461762,50011,Franklin,Franklin County,06,H1,G4020,,15540,,A,1641633748,150930318,+44.8589643,-072.9094023,262675.307342507,-3567565728.29916
90,26,103,01622994,26103,Marquette,Marquette County,06,H1,G4020,,32100,,A,4683963838,4185358819,+46.6565964,-087.5840278,635669.986246128,-18825121451.9926
91,09,007,00212797,09007,Middlesex,Middlesex County,06,H4,G4020,278,25540,,N,956491411,180679144,+41.4330028,-072.5227802,247303.542825097,-2024967837.80531
92,37,057,01008548,37057,Davidson,Davidson County,06,H1,G4020,268,49180,,A,1432696232,37467777,+35.7951312,-080.2071070,241878.986377591,-2239299832.03719
93,17,025,00424214,17025,Clay,Clay County,06,H1,G4020,,,,A,1212958828,3278251,+38.7468320,-088.4823443,209890.007094339,-2002837225.87533
94,29,103,00758506,29103,Knox,Knox County,06,H1,G4020,,,,A,1305376709,7307012,+40.1367764,-092.1468094,191171.988602671,-2247958318.93512
95,29,117,00758513,29117,Livingston,Livingston County,06,H1,G4020,,,,A,1378706292,16156752,+39.7785870,-093.5482013,222900.74524882,-2364820160.01124
96,42,117,01209189,42117,Tioga,Tioga County,06,H1,G4020,,,,A,2936469318,8257078,+41.7668593,-077.2572881,291233.637122227,-5298309574.45309
97,31,043,00835843,31043,Dakota,Dakota County,06,H1,G4020,512,43580,,A,684416193,8199775,+42.3916449,-096.5613555,156908.449544072,-1270551415.6965
98,26,089,01622987,26089,Leelanau,Leelanau County,06,H1,G4020,,45900,,A,899207290,5659134006,+45.1461816,-086.0515740,502980.98146853,-13186594763.9735
99,51,181,01480174,51181,Surry,Surry County,06,H1,G4020,,,,A,722475755,81216907,+37.1197611,-076.8801717,187491.050384428,-1266278817.07188
100,48,391,01383981,48391,Refugio,Refugio County,06,H1,G4020,,,,A,1995545559,123687613,+28.3127162,-097.1613657,347806.806673199,-2744912276.83634
101,39,017,01074021,39017,Butler,Butler County,06,H1,G4020,178,17140,,A,1209528851,7833380,+39.4397469,-084.5657341,191970.701186642,-2043667227.63071
102,13,273,00352238,13273,Terrell,Terrell County,06,H1,G4020,,10500,,A,868785320,5861795,+31.7771909,-084.4394464,184184.367085712,-1213925484.42099
103,13,063,01672399,13063,Clayton,Clayton County,06,H1,G4020,122,12060,,A,366862137,7057627,+33.5426863,-084.3555727,139828.689797497,-539668428.242538
104,56,013,01605072,56013,Fremont,Fremont County,06,H1,G4020,,40180,,A,23786031608,212125873,+43.0548310,-108.6089349,1184829.195711,-44951598884.0735
105,18,115,00450378,18115,Ohio,Ohio County,06,H1,G4020,178,17140,,A,223101879,3352213,+38.9405270,-084.9642994,112211.758747072,-374955973.644434
106,13,073,00348865,13073,Columbia,Columbia County,06,H1,G4020,,12260,,A,751327581,45369171,+33.5476313,-082.2522957,164772.875032037,-1149910249.7835
107,08,115,00198173,08115,Sedgwick,Sedgwick County,06,H1,G4020,,,,A,1419419128,3530746,+40.8715679,-102.3553579,208249.517869022,-2491280365.24065
108,30,065,01719593,30065,Musselshell,Musselshell County,06,H1,G4020,,,,A,4840572325,7124119,+46.5052807,-108.4397631,500535.946678904,-10226240862.5651
109,42,043,01213667,42043,Dauphin,Dauphin County,06,H1,G4020,276,25420,,A,1359893288,85780784,+40.4125646,-076.7926343,262010.674174383,-2496663237.95951
110,46,101,01265775,46101,Moody,Moody County,06,H1,G4020,,,,A,1345200317,3679400,+44.0124293,-096.6760536,204737.529119813,-2609362767.1333
111,54,079,01550046,54079,Putnam,Putnam County,06,H1,G4020,170,26580,,A,895302287,12226982,+38.5105128,-081.9061090,182716.857500094,-1484355816.33847
112,34,037,00882236,34037,Sussex,Sussex County,06,H1,G4020,408,35620,35084,A,1343552955,43234734,+41.1374609,-074.6919141,212139.066712619,-2447314631.30473
