,MapDate,ValidStart,ValidEnd,Week
0,2011-12-27,2011-12-27,2012-01-02,0
1,2012-01-03,2012-01-03,2012-01-09,1
2,2012-01-10,2012-01-10,2012-01-16,2
3,2012-01-17,2012-01-17,2012-01-23,3
4,2012-01-24,2012-01-24,2012-01-30,4
5,2012-01-31,2012-01-31,2012-02-06,5
6,2012-02-07,2012-02-07,2012-02-13,6
7,2012-02-14,2012-02-14,2012-02-20,7
8,2012-02-21,2012-02-21,2012-02-27,8
9,2012-02-28,2012-02-28,2012-03-05,9
10,2012-03-06,2012-03-06,2012-03-12,10
11,2012-03-13,2012-03-13,2012-03-19,11
12,2012-03-20,2012-03-20,2012-03-26,12
13,2012-03-27,2012-03-27,2012-04-02,13
14,2012-04-03,2012-04-03,2012-04-09,14
15,2012-04-10,2012-04-10,2012-04-16,15
16,2012-04-17,2012-04-17,2012-04-23,16
17,2012-04-24,2012-04-24,2012-04-30,17
18,2012-05-01,2012-05-01,2012-05-07,18
19,2012-05-08,2012-05-08,2012-05-14,19
20,2012-05-15,2012-05-15,2012-05-21,20
21,2012-05-22,2012-05-22,2012-05-28,21
22,2012-05-29,2012-05-29,2012-06-04,22
23,2012-06-05,2012-06-05,2012-06-11,23
24,2012-06-12,2012-06-12,2012-06-18,24
25,2012-06-19,2012-06-19,2012-06-25,25
26,2012-06-26,2012-06-26,2012-07-02,26
27,2012-07-03,2012-07-03,2012-07-09,27
28,2012-07-10,2012-07-10,2012-07-16,28
29,2012-07-17,2012-07-17,2012-07-23,29
30,2012-07-24,2012-07-24,2012-07-30,30
31,2012-07-31,2012-07-31,2012-08-06,31
32,2012-08-07,2012-08-07,2012-08-13,32
33,2012-08-14,2012-08-14,2012-08-20,33
34,2012-08-21,2012-08-21,2012-08-27,34
35,2012-08-28,2012-08-28,2012-09-03,35
36,2012-09-04,2012-09-04,2012-09-10,36
37,2012-09-11,2012-09-11,2012-09-17,37
38,2012-09-18,2012-09-18,2012-09-24,38
39,2012-09-25,2012-09-25,2012-10-01,39
40,2012-10-02,2012-10-02,2012-10-08,40
41,2012-10-09,2012-10-09,2012-10-15,41
42,2012-10-16,2012-10-16,2012-10-22,42
43,2012-10-23,2012-10-23,2012-10-29,43
44,2012-10-30,2012-10-30,2012-11-05,44
45,2012-11-06,2012-11-06,2012-11-12,45
46,2012-11-13,2012-11-13,2012-11-19,46
47,2012-11-20,2012-11-20,2012-11-26,47
48,2012-11-27,2012-11-27,2012-12-03,48
49,2012-12-04,2012-12-04,2012-12-10,49
50,2012-12-11,2012-12-11,2012-12-17,50
